id,crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,if_anomaly
0,0.00632,18.0,2.31,0.0,0.5379999999999999,6.575,65.2,4.09,1.0,296.0,15.3,396.9,4.98,1
1,0.02731,0.0,7.07,0.0,0.469,6.421,78.9,4.9671,2.0,242.0,17.8,396.9,9.14,1
2,0.02729,0.0,7.07,0.0,0.469,7.185,61.1,4.9671,2.0,242.0,17.8,392.83,4.03,1
3,0.03237,0.0,2.18,0.0,0.458,6.997999999999998,45.8,6.0622,3.0,222.0,18.7,394.63,2.94,1
4,0.06905,0.0,2.18,0.0,0.458,7.147,54.2,6.0622,3.0,222.0,18.7,396.9,5.33,1
5,0.02985,0.0,2.18,0.0,0.458,6.43,58.7,6.0622,3.0,222.0,18.7,394.12,5.21,1
6,0.08829,12.5,7.87,0.0,0.524,6.0120000000000005,66.6,5.5605,5.0,311.0,15.2,395.6,12.43,1
7,0.14455,12.5,7.87,0.0,0.524,6.1720000000000015,96.1,5.9505,5.0,311.0,15.2,396.9,19.15,1
8,0.21124,12.5,7.87,0.0,0.524,5.631,100.0,6.0821,5.0,311.0,15.2,386.63,29.93,1
9,0.17004,12.5,7.87,0.0,0.524,6.004,85.9,6.5921,5.0,311.0,15.2,386.71,17.1,1
10,0.22489,12.5,7.87,0.0,0.524,6.377000000000002,94.3,6.3467,5.0,311.0,15.2,392.52,20.45,1
11,0.11747,12.5,7.87,0.0,0.524,6.009,82.9,6.2267,5.0,311.0,15.2,396.9,13.27,1
12,0.09378,12.5,7.87,0.0,0.524,5.8889999999999985,39.0,5.4509,5.0,311.0,15.2,390.5,15.71,1
13,0.62976,0.0,8.14,0.0,0.5379999999999999,5.949,61.8,4.7075,4.0,307.0,21.0,396.9,8.26,1
14,0.6379600000000001,0.0,8.14,0.0,0.5379999999999999,6.096,84.5,4.4619,4.0,307.0,21.0,380.02,10.26,1
15,0.62739,0.0,8.14,0.0,0.5379999999999999,5.834,56.5,4.4986,4.0,307.0,21.0,395.62,8.47,1
16,1.05393,0.0,8.14,0.0,0.5379999999999999,5.935,29.3,4.4986,4.0,307.0,21.0,386.85,6.58,1
17,0.7842,0.0,8.14,0.0,0.5379999999999999,5.99,81.7,4.2579,4.0,307.0,21.0,386.75,14.67,1
18,0.80271,0.0,8.14,0.0,0.5379999999999999,5.456,36.6,3.7965,4.0,307.0,21.0,288.99,11.69,1
19,0.7258,0.0,8.14,0.0,0.5379999999999999,5.727,69.5,3.7965,4.0,307.0,21.0,390.95,11.28,1
20,1.25179,0.0,8.14,0.0,0.5379999999999999,5.57,98.1,3.7979,4.0,307.0,21.0,376.57,21.02,1
21,0.8520399999999999,0.0,8.14,0.0,0.5379999999999999,5.965,89.2,4.0123,4.0,307.0,21.0,392.53,13.83,1
22,1.2324700000000002,0.0,8.14,0.0,0.5379999999999999,6.142,91.7,3.9769,4.0,307.0,21.0,396.9,18.72,1
23,0.98843,0.0,8.14,0.0,0.5379999999999999,5.813,100.0,4.0952,4.0,307.0,21.0,394.54,19.88,1
24,0.75026,0.0,8.14,0.0,0.5379999999999999,5.924,94.1,4.3996,4.0,307.0,21.0,394.33,16.3,1
25,0.84054,0.0,8.14,0.0,0.5379999999999999,5.599,85.7,4.4546,4.0,307.0,21.0,303.42,16.51,1
26,0.67191,0.0,8.14,0.0,0.5379999999999999,5.813,90.3,4.682,4.0,307.0,21.0,376.88,14.81,1
27,0.95577,0.0,8.14,0.0,0.5379999999999999,6.0470000000000015,88.8,4.4534,4.0,307.0,21.0,306.38,17.28,1
28,0.77299,0.0,8.14,0.0,0.5379999999999999,6.495,94.4,4.4547,4.0,307.0,21.0,387.94,12.8,1
29,1.00245,0.0,8.14,0.0,0.5379999999999999,6.674,87.3,4.239,4.0,307.0,21.0,380.23,11.98,1
30,1.13081,0.0,8.14,0.0,0.5379999999999999,5.712999999999999,94.1,4.2330000000000005,4.0,307.0,21.0,360.17,22.6,1
31,1.35472,0.0,8.14,0.0,0.5379999999999999,6.072,100.0,4.175,4.0,307.0,21.0,376.73,13.04,1
32,1.38799,0.0,8.14,0.0,0.5379999999999999,5.95,82.0,3.99,4.0,307.0,21.0,232.6,27.71,-1
33,1.15172,0.0,8.14,0.0,0.5379999999999999,5.7010000000000005,95.0,3.7872,4.0,307.0,21.0,358.77,18.35,1
34,1.61282,0.0,8.14,0.0,0.5379999999999999,6.096,96.9,3.7598,4.0,307.0,21.0,248.31,20.34,1
35,0.06417,0.0,5.96,0.0,0.499,5.933,68.2,3.3603,5.0,279.0,19.2,396.9,9.68,1
36,0.09744,0.0,5.96,0.0,0.499,5.841,61.4,3.3779,5.0,279.0,19.2,377.56,11.41,1
37,0.08014,0.0,5.96,0.0,0.499,5.85,41.5,3.9342,5.0,279.0,19.2,396.9,8.77,1
38,0.17505,0.0,5.96,0.0,0.499,5.966,30.2,3.8473,5.0,279.0,19.2,393.43,10.13,1
39,0.02763,75.0,2.95,0.0,0.428,6.595,21.8,5.4011,3.0,252.0,18.3,395.63,4.32,1
40,0.033589999999999995,75.0,2.95,0.0,0.428,7.024,15.8,5.4011,3.0,252.0,18.3,395.62,1.98,1
41,0.12744,0.0,6.91,0.0,0.448,6.77,2.9,5.7209,3.0,233.0,17.9,385.41,4.84,1
42,0.1415,0.0,6.91,0.0,0.448,6.169,6.6,5.7209,3.0,233.0,17.9,383.37,5.81,1
43,0.15936,0.0,6.91,0.0,0.448,6.211,6.5,5.7209,3.0,233.0,17.9,394.46,7.44,1
44,0.12269,0.0,6.91,0.0,0.448,6.069,40.0,5.7209,3.0,233.0,17.9,389.39,9.55,1
45,0.17142000000000002,0.0,6.91,0.0,0.448,5.682,33.8,5.1004,3.0,233.0,17.9,396.9,10.21,1
46,0.18836,0.0,6.91,0.0,0.448,5.7860000000000005,33.3,5.1004,3.0,233.0,17.9,396.9,14.15,1
47,0.22927,0.0,6.91,0.0,0.448,6.03,85.5,5.6894,3.0,233.0,17.9,392.74,18.8,1
48,0.25387,0.0,6.91,0.0,0.448,5.399,95.3,5.87,3.0,233.0,17.9,396.9,30.81,1
49,0.21977,0.0,6.91,0.0,0.448,5.602,62.0,6.0877,3.0,233.0,17.9,396.9,16.2,1
50,0.08872999999999999,21.0,5.64,0.0,0.439,5.962999999999999,45.7,6.8147,4.0,243.0,16.8,395.56,13.45,1
51,0.04337,21.0,5.64,0.0,0.439,6.115,63.0,6.8147,4.0,243.0,16.8,393.97,9.43,1
52,0.0536,21.0,5.64,0.0,0.439,6.511,21.1,6.8147,4.0,243.0,16.8,396.9,5.28,1
53,0.04981,21.0,5.64,0.0,0.439,5.997999999999998,21.4,6.8147,4.0,243.0,16.8,396.9,8.43,1
54,0.0136,75.0,4.0,0.0,0.41,5.888,47.6,7.3197,3.0,469.0,21.1,396.9,14.8,1
55,0.01311,90.0,1.22,0.0,0.403,7.249,21.9,8.6966,5.0,226.0,17.9,395.93,4.81,1
56,0.02055,85.0,0.74,0.0,0.41,6.382999999999999,35.7,9.1876,2.0,313.0,17.3,396.9,5.77,1
57,0.01432,100.0,1.32,0.0,0.411,6.816,40.5,8.3248,5.0,256.0,15.1,392.9,3.95,1
58,0.15445,25.0,5.13,0.0,0.453,6.145,29.2,7.8148,8.0,284.0,19.7,390.68,6.86,1
59,0.10328,25.0,5.13,0.0,0.453,5.9270000000000005,47.2,6.932,8.0,284.0,19.7,396.9,9.22,1
60,0.14932,25.0,5.13,0.0,0.453,5.7410000000000005,66.2,7.2254,8.0,284.0,19.7,395.11,13.15,1
61,0.17171,25.0,5.13,0.0,0.453,5.966,93.4,6.8185,8.0,284.0,19.7,378.08,14.44,1
62,0.11027,25.0,5.13,0.0,0.453,6.456,67.8,7.2255,8.0,284.0,19.7,396.9,6.73,1
63,0.1265,25.0,5.13,0.0,0.453,6.7620000000000005,43.4,7.9809,8.0,284.0,19.7,395.58,9.5,1
64,0.01951,17.5,1.38,0.0,0.4161,7.104,59.5,9.2229,3.0,216.0,18.6,393.24,8.05,1
65,0.03584,80.0,3.37,0.0,0.398,6.29,17.8,6.6115,4.0,337.0,16.1,396.9,4.67,1
66,0.04379,80.0,3.37,0.0,0.398,5.787000000000001,31.1,6.6115,4.0,337.0,16.1,396.9,10.24,1
67,0.05789,12.5,6.07,0.0,0.409,5.877999999999999,21.4,6.497999999999998,4.0,345.0,18.9,396.21,8.1,1
68,0.13554000000000002,12.5,6.07,0.0,0.409,5.5939999999999985,36.8,6.497999999999998,4.0,345.0,18.9,396.9,13.09,1
69,0.12816,12.5,6.07,0.0,0.409,5.885,33.0,6.497999999999998,4.0,345.0,18.9,396.9,8.79,1
70,0.08826,0.0,10.81,0.0,0.413,6.417000000000002,6.6,5.2873,4.0,305.0,19.2,383.73,6.72,1
71,0.15875999999999998,0.0,10.81,0.0,0.413,5.961,17.5,5.2873,4.0,305.0,19.2,376.94,9.88,1
72,0.09164,0.0,10.81,0.0,0.413,6.065,7.8,5.2873,4.0,305.0,19.2,390.91,5.52,1
73,0.19539,0.0,10.81,0.0,0.413,6.245,6.2,5.2873,4.0,305.0,19.2,377.17,7.54,1
74,0.07896,0.0,12.83,0.0,0.4370000000000001,6.273,6.0,4.2515,5.0,398.0,18.7,394.92,6.78,1
75,0.09512,0.0,12.83,0.0,0.4370000000000001,6.2860000000000005,45.0,4.5026,5.0,398.0,18.7,383.23,8.94,1
76,0.10153,0.0,12.83,0.0,0.4370000000000001,6.279,74.5,4.0522,5.0,398.0,18.7,373.66,11.97,1
77,0.08707000000000001,0.0,12.83,0.0,0.4370000000000001,6.14,45.8,4.0905,5.0,398.0,18.7,386.96,10.27,1
78,0.05646,0.0,12.83,0.0,0.4370000000000001,6.232,53.7,5.0141,5.0,398.0,18.7,386.4,12.34,1
79,0.08387,0.0,12.83,0.0,0.4370000000000001,5.874,36.6,4.5026,5.0,398.0,18.7,396.06,9.1,1
80,0.04113,25.0,4.86,0.0,0.426,6.727,33.5,5.4007,4.0,281.0,19.0,396.9,5.29,1
81,0.04462,25.0,4.86,0.0,0.426,6.619,70.4,5.4007,4.0,281.0,19.0,395.63,7.22,1
